Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas used)","SmartShield (Success, Gas used)","Elysium (Success, Gas used)"
0x7a03ffbde716862315f957f7a492c6ad08598184d4845b2a3161a7b6d3d52493,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4c41f48bc121ff202c8f3655f41d99a9cdd22ded9f1951c0df559f979db9aca0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc2d5b1aeb502a0b9ca47a9a5c710c0d890459e37af921c137fe8b93bafa5e85e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x9458d9bd2208fdb2a5ec215bee36f5c2ea80370df8fa115cddbb7dd30e9f950b,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x71aff17c94fb0c96fc900b8d98d3815cfc54b56eadb8a803ccea68deb7fdc66a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2fc1e864ed085ab9bbc1d934a1bd50055a4952bda7407633d74ce64493bf00fa,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4f52287003221066f8c9b638c2d016a7c6647e5a5d56563393cf19bc3368ad94,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x2e8a46144b0a7e55c520cf335e1f50d5aab33f69333c07a4340fe6515a602b9a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xcc2e73bf005326799d10e706f63b0543ab330a091d982f1871b4cc45e271dcd2,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xa013c050d6b6a21b8042767c4e0f9616b3d5a1584d8a313489ba0d7cf56083c7,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc94c4db4947c59e635db29276bbf3267c676fd4f070231f242682a8add6a6694,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x87c8bb1d3ac7077486c348a4c4f0994b36263a2653043d0226690015e7a7d7c3,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb279f677e2c3ee7e5bc05a2bf5c77d8f52f199e7b8acb319eec05eb7f26e62f5,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xf450ee16c80501c7bb265df17b4842e8f4357a140df0bcd2b6e3c2e43fe8a53d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb6c0c0530ceabcca0f970836b8f027c45da204cfbdef0a6f39d6083545da775b,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xf077a0bc8f6816045b18507d9a42a0e188bdd5f5400de2261d0437d0fae91d4f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x84b689e1648469925e5f543c6a4e0fbbe14d3c8155dae8f82c5eb91a73f90819,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xda4c742b584ffa80221bd4b709584d76f4b7b73ee47e1b062231482c60e01e3a,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xd23b27841c1d956bf9fd76de9731cd698b274e665f539eb40fd090edd6e256ce,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xe2c4b846ed2be9a27e564e8f514ebbc168c7e63cadb1da03579b3a860540d946,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x65c100b612e58810c3f2dd8c32f1d8f0e3170213bf09a8e8f81ddc77bfeb6db8,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xc3fcdfb2350866f1153d6d60d531b26292c449f9345cb1a64ceaf571485bdc4d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xb7b15b0838fac57ebd5475a924992d95ecf59afe82f593be7a66a5b1d1b0388f,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc2189db6a4b36b275f1faa0b31bbc9090a37a647bbd3f4dd191e2a264cf6297e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
