Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas Used, Error)","SmartShield (Success, Gas Used, Error)","Elysium (Success, Gas Used, Error)"
0x2895a90dc2053647c2d37b16182636e109c043e265f0e57d388b5d72cb8e87c9,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xb7a589324252fd7cbae54e669819dc13e16bfaf9f573dcf3ef954025bb6d24af,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe0ad9869a2abaaa920afe38eb09ef3e50d74e06a51905e02d7637157bdc25e76,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x567eeec9a2ccf10e81992e20c313a659da41281090f77dca8180ea4ed8cb3ac7,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x82f0b9c9393e0cc7f43bc5b47a0c59df0b785cbd21852f095450ac51064eb88f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xf002967572c557bbb3e7332769065b2fd9884092327f0a27a6994fed14b36be2,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x9180ed22ca8cf0e410a07caa66a9a2e18d14b4e9382622e3b3e245a1300aade7,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xd4b4f41c1b053117d3c23d96dd4e3e1ac34b5ee2f75ed90b2bd0815da21a05d3,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x6062d58384b6ea953ae9993c40fa6e9b260f6ab868cfb9bec4b26728a6979c8f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xad1d6f526821a5c22de7ded139729ca213d57fcb64b58f66efe1efa9c27ddce1,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe955ce4495047b9f447112364da120f2bf63b222034fa3dcac7a418a0c5326b8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x430e763f0c214f2e6c92404aee6788bedf2c2b22ace14624d942a571ab926c6a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x0c7f83c55e5b7fde8a3d27d9c4b0b6ccb74dd07662526368936f9f46c4abfb93,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xf88bfab04e0f62d024cd3dcdd25d0ee46485c6e5c7867fb70be23578a2bf3e69,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xcd0e5045ac74754dd0e1f0e654708807aadc3c7fa959eec717a16fd16eeced9f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xe80875fc2b70c8b5e190ef00d9d870d14fad928975dc69b2aee8d1c0ae404c04,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
