Contract Address,Transaction Hash,Original Gas Used,"SmartShield (Success, Gas Used, Error Message)","Elysium (Success, Gas Used, Error Message)"
0xe4bf5dd03746870ba7c3c8e6e2028d0027612ebb,0xae4f629a5e34e3855657329bf737187ade09081e319ab8f579b734a97dec8a08,1498,"(True, 1498, None)","(True, 1498, None)"
0x6dbb825564e85925b0414fdbd41f764ec475c59b,0xe5b268991639672500c38b8a56ec9eeadf028a805f13e895c183ef2ff01044eb,1498,"(True, 1498, None)","(True, 1498, None)"
0xfd2b11f7e1b58c7f9ccf5479aab8ed4bf7a7ee8b,0xbfcdd9047af9c2642be25fc4023a38cc8ca970d7ee2c27c3d4a97c86d2706931,1498,"(True, 1498, None)","(True, 1498, None)"
0x8b7af85a82c081ba4ba556e925547325fae43b98,0x8c8ed8d27280eda6471eefa6569afc45bfa29fa7d02a81632853e10399ba26b2,1498,"(True, 1498, None)","(True, 1498, None)"
0xfe7e3ee7d3fcd8f3957aafb8348a38d229e4409a,0x72e930afbec83cb4485cd37f6a0f855310c8a0ffa86380e3e908144d3ed93cf4,1498,"(True, 1498, None)","(True, 1498, None)"
0x248c9bae4fee646906821155ef1a538e7ca978ec,0x092b6272ee0e1158d3c7173279bb712c40abd6500f0de28a25105539c1bae46c,1498,"(True, 1498, None)","(True, 1498, None)"
0x757ace477985fa469a008499184dbe449a045ab7,0x6461da99779c5e07fdca2fc93ac1fd0190804055725d23fec124d1e2f9df6809,1498,"(True, 1498, None)","(True, 1498, None)"
0x77cc39282a160a4a565f10e83c36fd0544965b6e,0x9420e01e6cad9ebe3db9479b8fc0581932159cdd1f45d7b8b7d9245700155501,1498,"(True, 1498, None)","(True, 1498, None)"
0x02665a0d6f28260e0395863135276ebe793e246c,0xe6c929249381f1662a11e940086fb9cbde8ac9377cf8adfc4716a7ad80291be0,1498,"(True, 1498, None)","(True, 1498, None)"
0xc4724c8546c9c4e26d08182f803e0b51a061357e,0xadecbcade9dbe489400ff073ac9139b375275721929bdb4df40dddd4dc5b3de7,1498,"(True, 1498, None)","(True, 1498, None)"
0x72a7197bbccbe6ee1e9c688645436ed06017768a,0x4eacac4d4f326c316bb12eb0c1fd89aa0f05e5924dbd90b496dd9ba01db37d47,1498,"(True, 1498, None)","(True, 1498, None)"
0x651a3731f717a17777c9d8d6f152aa9284978ea3,0x662b068540e24775db1c0bad97603a4465281b0013a1cfc46b98fda9d0d3bd33,1498,"(True, 1498, None)","(True, 1498, None)"
0x130a542a258401625aebd190457f25d35cca8301,0x9b0bc909562274b087447ee978b377f5d40a983b1a08f716390853fafd6876db,1498,"(True, 1498, None)","(True, 1498, None)"
0xeba90b310b464c20d409de6de7a75735bff63dad,0x7aa7f0044064847c9cb389900d15d9d7efe5c7d902be0d2e7b132d01e8196ea1,1498,"(True, 1498, None)","(True, 1498, None)"
0xf9ee19fa632d737af5614f646c0ce10ec7694031,0x45e916163411798b1cabbcc56083bf637d560e167662c0a35e2f9780b1c68011,1498,"(True, 1498, None)","(True, 1498, None)"
0x01dbb419d66be0d389fab88064493f1d698dc27a,0x69b5334ec43376ea74484d3ba424f2609bc3750e40004376bab2bd74313a5f69,1498,"(True, 1498, None)","(True, 1498, None)"
0x0ca95b38cd1551a3db33f2b7ebeb40db84eba8f9,0x0c65493e8a6aad3521bfb341ee48ee58622308c8ae5b3b6ec07413520a2ae1e3,1498,"(True, 1498, None)","(True, 1498, None)"
0xc4673da886f7e3e9ca24487f6b085e118d9dff02,0xa4dc97605a09657f1f9a10c369b547de47ea5d903b9c9e3941aa9a9636eccdec,1498,"(True, 1498, None)","(True, 1498, None)"
0xa7950e88d0c41c1396fcb84c2d50286194538b8f,0x6588028733b13aada5f7091a2e50e71f9b9bb082bb077bfd89c538bc834ab009,1498,"(True, 1498, None)","(True, 1498, None)"
0xefc0290283c59572fc03a6cc433831935477ada3,0x6637f6633f6d97fb8f61b48e5725c1e6ced7c75299eaf9acdd335c4920ba9706,1498,"(True, 1498, None)","(True, 1498, None)"
0xa96b0d4cacc9714f69e42bfa49cd20858eb2fe24,0x4672c4cbc21a0b73407425c3c441ddcd8a179cfd3b8d154ab760f5919412fad8,1498,"(True, 1498, None)","(True, 1498, None)"
0x2c0be2d4aae83a8d5d92cee3f966da3043a1242e,0xb060758223c33e170d7e7e480c3d79ab43deaf58ea798175b1a2a8eb5e395a4f,1498,"(True, 1498, None)","(True, 1498, None)"
0x00e97dc9df137a4065418fe6475f9465b63d9f59,0x98b6b384ddb934bdca430233678e2b888634484230598b1ed1f4aad51072d5e0,1498,"(True, 1498, None)","(True, 1498, None)"
0xd707e69e6644c2d9709a21acd7b8fbfe5a6de1f6,0xdab9f5066b5e9ce1c526cf4561c0cf7f5d37629e31643e37007477a3663b0852,1498,"(True, 1498, None)","(True, 1498, None)"
0x7b36434cec98d70cc64ea93f3d9873d4edca10cb,0xf8f42216d22410f8e1f64709f1fb45a9b3d311771323b3a65ef812cb2d5e88ec,1498,"(True, 1498, None)","(True, 1498, None)"
0x49045e8fd9ea68cdd0c768e8884488cad87dd919,0x0af9f0f0e3cf358275f86998233358ecf78f6689ebdd526a0cd54ad4d4514034,1498,"(True, 1498, None)","(True, 1498, None)"
0xa4c3558924442efc6a7a33d827622532897a894d,0xda0567d2904387112666b36225c84ab6690a33ab0f1feef06b44f5e00354fcd4,1498,"(True, 1498, None)","(True, 1498, None)"
0xc3bcd786b53ccbf2bfc3a350d09e2dd4a6e6959f,0xa62c1e44586e89cac732180443d404bdee6cb0c062ca61c152b636ee2c2fd15c,1498,"(True, 1498, None)","(True, 1498, None)"
0x770b2a36a396f47ed0b6ec41d9d6e77fc1c48985,0x4cc4f8b244774f4017bdb48c4f4ff1fc99487d7b24494453a6f1b41fae25cfdf,1498,"(True, 1498, None)","(True, 1498, None)"
0x0ea3754913cdf617507a4c640c0416147c9434aa,0x8732dd5334cbb3297f75b6a15e215b064839145324d00766b080dc4721e2fbd1,1498,"(True, 1498, None)","(True, 1498, None)"
0xb94f3a5ca67be4b33c73c16e84d7cd82277d772c,0x36e72ffa9e4f51108e4dfd0bd64c10308d311b0b45b95b5111e5fcfdb69d0610,1498,"(True, 1498, None)","(True, 1498, None)"
0x57d6729f695137efc32c9592c9f879162ba81c8f,0xfdec96955abfabc3db69b96f45f209a654d81f7f3829f3b553abb5f7b25350f8,1498,"(True, 1498, None)","(True, 1498, None)"
0x3ca7d3b7ba818b806d7a1975e8b92e6f55fd0e7e,0xef55ba542041f9a1660f5972503ced6c878d8a74be798939a26955908f1a8243,1498,"(True, 1498, None)","(True, 1498, None)"
0x7f379a0d99d224d487ae4751cbf261ae6037153e,0x4d3997326bc74621b85739874d73a0e91e229d50c4491380d908ccfc00556144,1498,"(True, 1498, None)","(True, 1498, None)"
0x2993753c24323d9152e69f6589109f67b2921dac,0xf83f223d9c387c7f982d946690c19343bc39e64ccb62225a7189ca919c218050,1498,"(True, 1498, None)","(True, 1498, None)"
0xe605c7d8810043ba3dfa7b08e892e2f9eec056ca,0x5d79d6e90846ecb0528dcd4903629384125ed87ca7ac932fb97189d774f778d2,1498,"(True, 1498, None)","(True, 1498, None)"
0x50126e8fcb9be29f83c6bbd913cc85b40eaf86fc,0xfe306bd5f649a57717fc27f413a11ddc7991ca2d6aa18c4599911b517b9d94e8,1498,"(True, 1498, None)","(True, 1498, None)"
0x3d52571f1ce8f035da1c1ed716f3055790274549,0xd68def4659908fe2372b5d9ba701f848837f7760c603d62b667ecedd7e508b9f,1498,"(True, 1498, None)","(True, 1498, None)"
0xa90eab04e963e3cc086a2d3d1ad5e74fd9f88b8b,0xb3f621de11bb120c96fc6bbcb27c53a48b086fe39622c5a9388a43831daf702b,1498,"(True, 1498, None)","(True, 1498, None)"
0xe50634f6cabc048e069ead7ddda94dcf51173841,0x43b73278e88da982f89b622c0466cf489a55547a3acec247022f5d58cca56934,1498,"(True, 1498, None)","(True, 1498, None)"
0xd74401db32ddd23127e7823887c5ca4d81631793,0xdc94e84ca4f7a38575b7920f9749f111e21c0260938aef2e34ae19075e0837b4,1498,"(True, 1498, None)","(True, 1498, None)"
0x55f206ccea40fb17134258f11e732f358a10822a,0x23b623af792bfd2b3fc2fcf41a70983e858bd5fad3fae3a2df518cb459ce493b,1498,"(True, 1498, None)","(True, 1498, None)"
0x14236995526230feafc1d6ea94f8e0c59ec09f1f,0xa22b87b59718ec78aacaa957cac4d9e29dda5a5243a1f0c17a3b65e48e7c6d1e,1498,"(True, 1498, None)","(True, 1498, None)"
0x5ff91865a451a09fe706ce5eae8591176709ab3e,0x8d58af9c8f3e91ff9041da4a454f63a27f799185d0f96187cf8cc3ad3a325325,1498,"(True, 1498, None)","(True, 1498, None)"
0x3085335d03541c007fb7b15e9112ca1f364ad8bb,0x06fe2cc2f1e26e1a352004e2e02c61824dc0789ce3ff061479b8d6fce75a57e4,1498,"(True, 1498, None)","(True, 1498, None)"
